EmployeeID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,MaritalStatus,Gender,BirthDate,HireDate,SalariedFlag,CurrentFlag
66,834186596,adventure-works\karan0,/3/1/5/4/,4.0,Production Technician - WC60,S,M,1970-03-07,2009-12-22,False,True
67,63179277,adventure-works\jay0,/3/1/5/5/,4.0,Production Technician - WC60,S,M,1976-02-11,2009-03-05,False,True
68,537092325,adventure-works\charles0,/3/1/5/6/,4.0,Production Technician - WC60,S,M,1971-09-02,2009-12-03,False,True
69,752513276,adventure-works\steve0,/3/1/5/7/,4.0,Production Technician - WC60,S,M,1991-04-06,2009-02-15,False,True
70,36151748,adventure-works\david2,/3/1/5/8/,4.0,Production Technician - WC60,M,M,1984-12-29,2008-12-15,False,True
71,578935259,adventure-works\michael3,/3/1/6/,3.0,Production Supervisor - WC30,S,M,1989-01-29,2009-02-15,False,True
72,443968955,adventure-works\steven0,/3/1/6/1/,4.0,Production Technician - WC30,M,M,1977-05-14,2008-12-01,False,True
73,138280935,adventure-works\carole0,/3/1/6/2/,4.0,Production Technician - WC30,M,F,1983-10-19,2008-12-19,False,True
74,420023788,adventure-works\bjorn0,/3/1/6/3/,4.0,Production Technician - WC30,S,M,1989-11-06,2009-01-07,False,True
75,363996959,adventure-works\michiko0,/3/1/6/4/,4.0,Production Technician - WC30,S,M,1982-06-27,2009-01-26,False,True
76,227319668,adventure-works\carol0,/3/1/6/5/,4.0,Production Technician - WC30,M,F,1988-10-17,2009-02-12,False,True
77,301435199,adventure-works\merav0,/3/1/6/6/,4.0,Production Technician - WC30,M,F,1983-05-13,2009-03-03,False,True
78,370989364,adventure-works\reuben0,/3/1/7/,3.0,Production Supervisor - WC40,M,M,1987-08-27,2008-12-15,False,True
79,697712387,adventure-works\eric1,/3/1/7/1/,4.0,Production Technician - WC40,M,M,1966-12-08,2010-01-24,False,True
80,943170460,adventure-works\sandeep0,/3/1/7/2/,4.0,Production Technician - WC40,S,M,1970-12-03,2010-01-17,False,True
81,413787783,adventure-works\mihail0,/3/1/7/3/,4.0,Production Technician - WC40,S,M,1971-03-09,2009-12-29,False,True
82,58791499,adventure-works\jack1,/3/1/7/4/,4.0,Production Technician - WC40,S,M,1973-08-29,2010-03-03,False,True
83,988315686,adventure-works\patrick1,/3/1/7/5/,4.0,Production Technician - WC40,M,M,1973-12-23,2010-02-12,False,True
84,947029962,adventure-works\frank3,/3/1/7/6/,4.0,Production Technician - WC40,M,M,1952-03-02,2010-02-05,False,True
85,1662732,adventure-works\brian2,/3/1/7/7/,4.0,Production Technician - WC40,S,M,1970-12-23,2009-12-11,False,True
86,769680433,adventure-works\ryan0,/3/1/7/8/,4.0,Production Technician - WC40,M,M,1972-06-13,2009-01-05,False,True
87,7201901,adventure-works\cristian0,/3/1/8/,3.0,Production Supervisor - WC10,M,M,1984-04-11,2008-12-22,False,True
88,294148271,adventure-works\betsy0,/3/1/8/1/,4.0,Production Technician - WC10,S,F,1966-12-17,2009-12-18,False,True
89,90888098,adventure-works\patrick0,/3/1/8/2/,4.0,Production Technician - WC10,S,M,1986-09-10,2010-02-01,False,True
90,82638150,adventure-works\danielle0,/3/1/8/3/,4.0,Production Technician - WC10,S,F,1986-09-07,2010-02-20,False,True
91,390124815,adventure-works\kimberly0,/3/1/8/4/,4.0,Production Technician - WC10,S,F,1986-09-13,2010-01-12,False,True
92,826454897,adventure-works\tom0,/3/1/8/5/,4.0,Production Technician - WC10,M,M,1986-10-01,2010-03-10,False,True
93,778552911,adventure-works\kok-ho0,/3/1/9/,3.0,Production Supervisor - WC50,S,M,1980-04-28,2008-12-27,False,True
94,718299860,adventure-works\russell0,/3/1/9/1/,4.0,Production Technician - WC50,M,M,1972-11-25,2008-12-12,False,True
95,674171828,adventure-works\jim0,/3/1/9/2/,4.0,Production Technician - WC50,M,M,1986-09-08,2008-12-19,False,True
96,912141525,adventure-works\elizabeth0,/3/1/9/3/,4.0,Production Technician - WC50,M,F,1990-01-25,2009-03-02,False,True
97,370581729,adventure-works\mandar0,/3/1/9/4/,4.0,Production Technician - WC50,S,M,1986-03-21,2009-02-10,False,True
98,152085091,adventure-works\sameer0,/3/1/9/5/,4.0,Production Technician - WC50,M,M,1978-06-26,2009-02-11,False,True
99,431859843,adventure-works\nuan0,/3/1/9/6/,4.0,Production Technician - WC50,S,M,1979-03-29,2009-01-06,False,True
100,204035155,adventure-works\lolan0,/3/1/9/7/,4.0,Production Technician - WC50,M,M,1973-01-24,2009-01-12,False,True
101,153288994,adventure-works\houman0,/3/1/9/8/,4.0,Production Technician - WC50,M,M,1971-08-30,2009-01-25,False,True
102,360868122,adventure-works\zheng0,/3/1/10/,3.0,Production Supervisor - WC10,S,M,1983-10-26,2008-12-03,False,True
103,455563743,adventure-works\ebru0,/3/1/10/1/,4.0,Production Technician - WC10,S,M,1986-09-22,2009-12-06,False,True
104,717889520,adventure-works\mary1,/3/1/10/2/,4.0,Production Technician - WC10,M,F,1986-09-19,2009-12-25,False,True
105,801365500,adventure-works\kevin2,/3/1/10/3/,4.0,Production Technician - WC10,S,M,1986-09-19,2009-12-25,False,True
106,561196580,adventure-works\john4,/3/1/10/4/,4.0,Production Technician - WC10,S,M,1986-09-28,2010-02-27,False,True
107,393421437,adventure-works\christopher0,/3/1/10/5/,4.0,Production Technician - WC10,M,M,1986-10-01,2010-02-08,False,True
108,630184120,adventure-works\jinghao0,/3/1/11/,3.0,Production Supervisor - WC50,S,M,1989-02-05,2008-12-08,False,True
109,113695504,adventure-works\alice0,/3/1/11/1/,4.0,Production Technician - WC50,M,F,1978-01-26,2008-12-07,False,True
110,857651804,adventure-works\jun0,/3/1/11/2/,4.0,Production Technician - WC50,S,M,1979-07-06,2008-12-14,False,True
111,415823523,adventure-works\suroor0,/3/1/11/3/,4.0,Production Technician - WC50,S,M,1978-02-25,2008-12-17,False,True
112,981597097,adventure-works\john1,/3/1/11/4/,4.0,Production Technician - WC50,S,M,1978-05-31,2009-01-01,False,True
113,54759846,adventure-works\linda0,/3/1/11/5/,4.0,Production Technician - WC50,M,F,1987-07-17,2008-12-25,False,True
114,342607223,adventure-works\mindaugas0,/3/1/11/6/,4.0,Production Technician - WC50,M,M,1978-05-07,2009-01-13,False,True
115,563680513,adventure-works\angela0,/3/1/11/7/,4.0,Production Technician - WC50,S,F,1991-05-31,2009-01-20,False,True
116,398737566,adventure-works\michael2,/3/1/11/8/,4.0,Production Technician - WC50,S,M,1974-05-03,2009-01-31,False,True
117,599942664,adventure-works\chad0,/3/1/11/9/,4.0,Production Technician - WC50,M,M,1990-08-04,2009-02-18,False,True
118,222400012,adventure-works\don0,/3/1/11/10/,4.0,Production Technician - WC50,M,M,1971-06-13,2009-02-13,False,True
119,334834274,adventure-works\michael4,/3/1/11/11/,4.0,Production Technician - WC50,S,M,1989-06-15,2009-02-25,False,True
120,211789056,adventure-works\kitti0,/3/1/11/12/,4.0,Production Technician - WC50,S,F,1987-06-06,2009-03-04,False,True
121,521265716,adventure-works\pilar0,/3/1/12/,3.0,Shipping and Receiving Supervisor,S,M,1972-09-09,2009-01-02,True,True
122,586486572,adventure-works\susan0,/3/1/12/1/,4.0,Stocker,S,F,1978-02-17,2008-12-07,False,True
123,337752649,adventure-works\vamsi0,/3/1/12/2/,4.0,Shipping and Receiving Clerk,M,M,1977-03-18,2008-12-07,False,True
124,420776180,adventure-works\kim0,/3/1/12/3/,4.0,Stocker,S,F,1984-04-30,2008-12-26,False,True
125,584205124,adventure-works\matthias0,/3/1/12/4/,4.0,Shipping and Receiving Clerk,M,M,1973-11-11,2009-01-20,False,True
126,652779496,adventure-works\jimmy0,/3/1/12/5/,4.0,Stocker,M,M,1985-05-04,2009-02-26,False,True
127,750905084,adventure-works\david4,/3/1/13/,3.0,Production Supervisor - WC40,S,M,1983-07-02,2009-01-03,False,True
128,384162788,adventure-works\paul0,/3/1/13/1/,4.0,Production Technician - WC40,S,M,1980-11-13,2008-12-04,False,True
129,502058701,adventure-works\gary0,/3/1/13/2/,4.0,Production Technician - WC40,S,M,1988-05-16,2008-12-22,False,True
130,578953538,adventure-works\rob1,/3/1/13/3/,4.0,Production Technician - WC40,S,M,1973-08-04,2009-02-13,False,True
131,273260055,adventure-works\baris0,/3/1/13/4/,4.0,Production Technician - WC40,S,M,1990-10-07,2009-02-15,False,True
132,1300049,adventure-works\nicole0,/3/1/13/5/,4.0,Production Technician - WC40,M,F,1986-04-09,2009-02-22,False,True
133,830150469,adventure-works\michael1,/3/1/13/6/,4.0,Production Technician - WC40,S,M,1991-01-04,2009-01-10,False,True
134,45615666,adventure-works\eric0,/3/1/14/,3.0,Production Supervisor - WC20,M,M,1985-01-19,2009-01-14,False,True
135,964089218,adventure-works\ivo0,/3/1/14/1/,4.0,Production Technician - WC20,M,M,1982-01-03,2008-12-04,False,True
136,701156975,adventure-works\sylvester0,/3/1/14/2/,4.0,Production Technician - WC20,M,M,1970-11-12,2009-12-11,False,True
137,63761469,adventure-works\anibal0,/3/1/14/3/,4.0,Production Technician - WC20,S,F,1974-09-05,2009-02-23,False,True
138,25011600,adventure-works\samantha0,/3/1/14/4/,4.0,Production Technician - WC20,M,F,1987-11-22,2009-02-04,False,True
139,113393530,adventure-works\hung-fu0,/3/1/14/5/,4.0,Production Technician - WC20,S,M,1971-10-23,2010-01-06,False,True
140,339233463,adventure-works\prasanna0,/3/1/14/6/,4.0,Production Technician - WC20,M,M,1953-04-30,2010-01-22,False,True
141,872923042,adventure-works\min0,/3/1/14/7/,4.0,Production Technician - WC20,M,M,1974-09-10,2010-01-24,False,True
142,163347032,adventure-works\olinda0,/3/1/14/8/,4.0,Production Technician - WC20,S,F,1970-04-04,2010-03-04,False,True
143,56772045,adventure-works\krishna0,/3/1/14/9/,4.0,Production Technician - WC20,S,M,1971-09-05,2010-02-13,False,True
144,886023130,adventure-works\paul1,/3/1/14/10/,4.0,Production Technician - WC20,M,M,1990-11-04,2009-01-17,False,True
145,386315192,adventure-works\cynthia0,/3/1/15/,3.0,Production Supervisor - WC30,S,F,1981-08-18,2009-01-27,False,True
146,160739235,adventure-works\jianshuo0,/3/1/15/1/,4.0,Production Technician - WC30,S,M,1989-06-25,2008-12-07,False,True
147,604664374,adventure-works\sandra0,/3/1/15/2/,4.0,Production Technician - WC30,M,F,1975-11-05,2008-12-26,False,True
148,733022683,adventure-works\jason0,/3/1/15/3/,4.0,Production Technician - WC30,S,M,1988-12-07,2009-01-14,False,True
149,764853868,adventure-works\andy0,/3/1/15/4/,4.0,Production Technician - WC30,M,M,1983-10-20,2009-01-31,False,True
150,878395493,adventure-works\michael5,/3/1/15/5/,4.0,Production Technician - WC30,M,M,1982-09-18,2009-02-26,False,True
151,993310268,adventure-works\rostislav0,/3/1/15/6/,4.0,Production Technician - WC30,M,M,1977-09-13,2009-02-19,False,True
152,319472946,adventure-works\yuhong0,/3/1/16/,3.0,Production Supervisor - WC20,M,M,1977-04-06,2009-02-01,False,True
153,568596888,adventure-works\hanying0,/3/1/16/1/,4.0,Production Technician - WC20,S,M,1974-10-16,2008-12-16,False,True
154,97728960,adventure-works\raymond0,/3/1/16/2/,4.0,Production Technician - WC20,M,M,1967-03-02,2008-12-23,False,True
155,212801092,adventure-works\fadi0,/3/1/16/3/,4.0,Production Technician - WC20,S,M,1989-02-15,2009-01-04,False,True
156,322160340,adventure-works\lane0,/3/1/16/4/,4.0,Production Technician - WC20,M,M,1974-09-23,2009-01-11,False,True
157,812797414,adventure-works\linda1,/3/1/16/5/,4.0,Production Technician - WC20,S,F,1977-10-05,2009-02-03,False,True
158,300946911,adventure-works\shelley0,/3/1/16/6/,4.0,Production Technician - WC20,S,F,1986-12-08,2009-03-07,False,True
159,404159499,adventure-works\terrence0,/3/1/16/7/,4.0,Production Technician - WC20,S,M,1984-12-08,2009-02-16,False,True
160,712885347,adventure-works\jeff0,/3/1/17/,3.0,Production Supervisor - WC45,M,M,1977-01-15,2009-01-21,False,True
161,275962311,adventure-works\kirk0,/3/1/17/1/,4.0,Production Technician - WC45,S,M,1985-02-06,2008-12-15,False,True
162,514829225,adventure-works\laura0,/3/1/17/2/,4.0,Production Technician - WC45,S,F,1980-12-25,2009-01-03,False,True
163,377784364,adventure-works\alex0,/3/1/17/3/,4.0,Production Technician - WC45,M,M,1990-04-13,2009-02-08,False,True
164,65848458,adventure-works\andrew1,/3/1/17/4/,4.0,Production Technician - WC45,S,M,1988-09-24,2009-03-06,False,True
165,539490372,adventure-works\chris0,/3/1/17/5/,4.0,Production Technician - WC45,M,M,1988-12-16,2009-01-22,False,True
166,60114406,adventure-works\jack0,/3/1/18/,3.0,Production Supervisor - WC30,S,M,1983-06-22,2009-02-21,False,True
167,498138869,adventure-works\david1,/3/1/18/1/,4.0,Production Technician - WC30,S,M,1979-11-02,2008-12-02,False,True
168,271438431,adventure-works\garrett0,/3/1/18/2/,4.0,Production Technician - WC30,S,M,1984-08-25,2008-12-07,False,True
169,351069889,adventure-works\susan1,/3/1/18/3/,4.0,Production Technician - WC30,S,F,1983-04-02,2008-12-14,False,True
170,476115505,adventure-works\george0,/3/1/18/4/,4.0,Production Technician - WC30,M,M,1977-04-16,2008-12-21,False,True
171,746373306,adventure-works\david3,/3/1/18/5/,4.0,Production Technician - WC30,S,M,1981-08-03,2009-01-02,False,True
172,364818297,adventure-works\marc0,/3/1/18/6/,4.0,Production Technician - WC30,M,M,1986-10-24,2009-01-16,False,True
173,87268837,adventure-works\eugene0,/3/1/18/7/,4.0,Production Technician - WC30,S,M,1987-07-15,2009-01-21,False,True
174,585408256,adventure-works\benjamin0,/3/1/18/8/,4.0,Production Technician - WC30,S,M,1986-01-05,2009-01-27,False,True
175,259388196,adventure-works\reed0,/3/1/18/9/,4.0,Production Technician - WC30,M,M,1989-01-08,2009-02-02,False,True
176,860123571,adventure-works\david7,/3/1/18/10/,4.0,Production Technician - WC30,M,M,1985-09-23,2009-02-14,False,True
177,551346974,adventure-works\russell1,/3/1/18/11/,4.0,Production Technician - WC30,M,M,1982-02-11,2009-02-21,False,True
178,568626529,adventure-works\john3,/3/1/18/12/,4.0,Production Technician - WC30,S,M,1982-03-24,2009-03-03,False,True
179,587567941,adventure-works\jan0,/3/1/18/13/,4.0,Production Technician - WC30,S,M,1974-11-15,2009-03-05,False,True
180,862951447,adventure-works\katie0,/3/1/19/,3.0,Production Supervisor - WC20,S,F,1984-11-18,2009-02-20,False,True
181,545337468,adventure-works\michael0,/3/1/19/1/,4.0,Production Technician - WC20,S,M,1984-11-17,2008-12-09,False,True
182,368920189,adventure-works\nitin0,/3/1/19/2/,4.0,Production Technician - WC20,S,M,1986-12-01,2008-12-28,False,True
183,969985265,adventure-works\barbara0,/3/1/19/3/,4.0,Production Technician - WC20,M,F,1979-07-02,2009-01-22,False,True
184,305522471,adventure-works\john2,/3/1/19/4/,4.0,Production Technician - WC20,M,M,1986-04-05,2009-02-09,False,True
185,621932914,adventure-works\stefen0,/3/1/19/5/,4.0,Production Technician - WC20,S,M,1975-12-21,2009-02-28,False,True
186,551834634,adventure-works\shane0,/3/1/20/,3.0,Production Supervisor - WC45,S,M,1990-05-24,2009-02-08,False,True
187,713403643,adventure-works\yvonne0,/3/1/20/1/,4.0,Production Technician - WC45,M,F,1989-04-15,2008-12-09,False,True
188,435234965,adventure-works\douglas0,/3/1/20/2/,4.0,Production Technician - WC45,M,M,1985-11-24,2008-12-27,False,True
189,187369436,adventure-works\janeth0,/3/1/20/3/,4.0,Production Technician - WC45,S,F,1972-07-24,2009-01-15,False,True
190,456839592,adventure-works\robert0,/3/1/20/4/,4.0,Production Technician - WC45,S,M,1985-02-28,2009-02-02,False,True
191,399658727,adventure-works\lionel0,/3/1/20/5/,4.0,Production Technician - WC45,S,M,1988-03-14,2009-02-26,False,True
192,634335025,adventure-works\brenda0,/3/1/21/,3.0,Production Supervisor - WC40,M,F,1983-02-28,2009-03-05,False,True
193,761597760,adventure-works\alejandro0,/3/1/21/1/,4.0,Production Technician - WC40,S,M,1988-12-05,2008-12-06,False,True
194,295971920,adventure-works\fred0,/3/1/21/2/,4.0,Production Technician - WC40,S,M,1989-06-25,2008-12-12,False,True
195,918737118,adventure-works\kevin1,/3/1/21/3/,4.0,Production Technician - WC40,S,M,1985-12-25,2008-12-17,False,True
196,370487086,adventure-works\shammi0,/3/1/21/4/,4.0,Production Technician - WC40,M,M,1980-10-04,2008-12-24,False,True
197,632092621,adventure-works\rajesh0,/3/1/21/5/,4.0,Production Technician - WC40,M,M,1977-10-04,2008-12-31,False,True
198,19312190,adventure-works\lorraine0,/3/1/21/6/,4.0,Production Technician - WC40,M,F,1988-11-26,2009-01-04,False,True
199,992874797,adventure-works\paula1,/3/1/21/7/,4.0,Production Technician - WC40,M,F,1987-02-10,2009-01-12,False,True
200,749211824,adventure-works\frank0,/3/1/21/8/,4.0,Production Technician - WC40,M,M,1987-09-06,2009-01-17,False,True
201,746201340,adventure-works\brian0,/3/1/21/9/,4.0,Production Technician - WC40,S,M,1977-02-10,2009-01-29,False,True
202,436757988,adventure-works\tawana0,/3/1/21/10/,4.0,Production Technician - WC40,S,M,1989-11-10,2009-02-05,False,True
203,693168613,adventure-works\ken1,/3/1/21/11/,4.0,Production Technician - WC40,M,M,1981-05-28,2009-02-24,False,True
204,440379437,adventure-works\gabe0,/3/1/21/12/,4.0,Production Technician - WC40,M,M,1988-05-10,2009-03-08,False,True
205,332349500,adventure-works\lori0,/3/1/22/,3.0,Production Supervisor - WC45,S,F,1980-07-18,2009-02-26,False,True
206,835460180,adventure-works\stuart0,/3/1/22/1/,4.0,Production Technician - WC45,S,M,1962-09-13,2008-12-02,False,True
207,687685941,adventure-works\greg0,/3/1/22/2/,4.0,Production Technician - WC45,S,M,1970-10-18,2008-12-02,False,True
208,199546871,adventure-works\scott0,/3/1/22/3/,4.0,Production Technician - WC45,M,M,1987-02-10,2009-01-08,False,True
209,167554340,adventure-works\kathie0,/3/1/22/4/,4.0,Production Technician - WC45,M,F,1990-11-01,2009-01-27,False,True
210,20244403,adventure-works\belinda0,/3/1/22/5/,4.0,Production Technician - WC45,S,F,1969-09-17,2009-02-20,False,True
211,398223854,adventure-works\hazem0,/3/2/,2.0,Quality Assurance Manager,S,M,1977-10-26,2009-02-28,True,True
212,885055826,adventure-works\peng0,/3/2/1/,3.0,Quality Assurance Supervisor,M,M,1976-03-18,2008-12-09,True,True
213,343861179,adventure-works\sootha0,/3/2/1/1/,4.0,Quality Assurance Technician,M,M,1966-12-05,2010-02-23,False,True
214,131471224,adventure-works\andreas0,/3/2/1/2/,4.0,Quality Assurance Technician,M,M,1989-03-28,2009-02-02,False,True
215,381772114,adventure-works\mark0,/3/2/1/3/,4.0,Quality Assurance Technician,S,M,1986-04-30,2009-01-15,False,True
216,403414852,adventure-works\sean0,/3/2/1/4/,4.0,Quality Assurance Technician,S,M,1976-03-06,2008-12-28,False,True
217,345106466,adventure-works\zainal0,/3/2/2/,3.0,Document Control Manager,M,M,1976-01-30,2009-01-04,False,True
218,540688287,adventure-works\tengiz0,/3/2/2/1/,4.0,Control Specialist,S,M,1990-04-28,2008-12-16,False,True
219,242381745,adventure-works\sean1,/3/2/2/2/,4.0,Document Control Assistant,S,M,1987-03-12,2009-01-22,False,True
220,260770918,adventure-works\karen0,/3/2/2/3/,4.0,Document Control Assistant,M,F,1975-12-25,2009-02-09,False,True
221,260805477,adventure-works\chris1,/3/2/2/4/,4.0,Control Specialist,M,M,1987-05-26,2009-03-06,False,True
222,685233686,adventure-works\ascott0,/3/3/,2.0,Master Scheduler,S,M,1968-09-17,2008-12-12,False,True
223,981495526,adventure-works\sairaj0,/3/3/1/,3.0,Scheduling Assistant,M,M,1987-12-22,2009-01-26,False,True
